,reproCost,radiusCost,energyQuantity,maxMutate,growthRate,rescDensity,basalEnergyCost,0.025,0.25,0.5,0.75,0.975
9,0.5,0.1,1.0,0.25,0.45,1.5,0.05,0.0,0.0,0.0,0.0,0.0
10,0.5,0.1,1.0,0.25,0.5,1.5,0.05,0.0,0.0,0.0,0.0,0.0
11,0.5,0.1,1.0,0.25,0.55,1.5,0.05,0.0,0.0,0.0,0.0,0.0
12,0.5,0.1,1.0,0.25,0.6000000000000001,1.5,0.05,0.0,0.0,0.0,0.0,0.0
13,0.5,0.1,1.0,0.25,0.65,1.5,0.05,0.0,0.0,0.0,0.0,0.0
14,0.5,0.1,1.0,0.25,0.7000000000000001,1.5,0.05,0.0,0.0,0.0,0.0,0.0
15,0.5,0.1,1.0,0.25,0.75,1.5,0.05,0.0,0.0,0.0,0.0,0.0
0,0.5,0.1,1.0,0.25,0.0,0.75,0.05,0.0,0.0,0.0,0.0,0.0
1,0.5,0.1,1.0,0.25,0.05,0.75,0.05,0.0,0.469665,0.647888,0.8630389999999999,1.256585
2,0.5,0.1,1.0,0.25,0.1,0.75,0.05,0.29602259999999997,0.593955,0.794696,1.033744,1.4643949999999997
3,0.5,0.1,1.0,0.25,0.15000000000000002,0.75,0.05,0.3624492,0.732097,0.950618,1.171102,1.6421372
4,0.5,0.1,1.0,0.25,0.2,0.75,0.05,0.41574880000000003,0.763441,0.969566,1.194596,1.7905387999999998
5,0.5,0.1,1.0,0.25,0.25,0.75,0.05,0.40771725,0.7331449999999999,0.9255774999999999,1.12778625,1.6264930999999998
6,0.5,0.1,1.0,0.25,0.30000000000000004,0.75,0.05,0.3928888,0.717274,0.909332,1.111136,1.6307431999999995
7,0.5,0.1,1.0,0.25,0.35000000000000003,0.75,0.05,0.3727794250000001,0.68523475,0.864967,1.05236025,1.4993743249999996
8,0.5,0.1,1.0,0.25,0.4,0.75,0.05,0.3771992,0.6982119999999999,0.8869090000000001,1.0857225000000001,1.6198890499999996
9,0.5,0.1,1.0,0.25,0.45,0.75,0.05,0.3548426000000001,0.669312,0.8463940000000001,1.030155,1.452834199999998
10,0.5,0.1,1.0,0.25,0.5,0.75,0.05,0.3384772,0.6530704999999999,0.824923,1.00402,1.3913777
11,0.5,0.1,1.0,0.25,0.55,0.75,0.05,0.33430695,0.6460199999999999,0.81821,0.9965120000000001,1.3621651999999995
12,0.5,0.1,1.0,0.25,0.6000000000000001,0.75,0.05,0.32581925,0.643861,0.8171255000000001,0.99686775,1.3669097499999994
13,0.5,0.1,1.0,0.25,0.65,0.75,0.05,0.32012517500000004,0.63653275,0.8088274999999999,0.987257,1.3338661750000005
14,0.5,0.1,1.0,0.25,0.7000000000000001,0.75,0.05,0.3116463,0.629004,0.801531,0.9793799999999999,1.3156373
15,0.5,0.1,1.0,0.25,0.75,0.75,0.05,0.30219815,0.61944,0.7894329999999999,0.968591,1.2932269249999986
0,0.5,0.1,1.0,0.25,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.0
1,0.5,0.1,1.0,0.25,0.05,0.25,0.05,0.1849751,0.40921875,0.5449515,0.68460575,0.996379275
2,0.5,0.1,1.0,0.25,0.1,0.25,0.05,0.269912875,0.5964115,0.7949285,1.0123725000000001,1.4908581
3,0.5,0.1,1.0,0.25,0.15000000000000002,0.25,0.05,0.290254,0.6008859999999999,0.7832494999999999,0.98375775,1.409748875
4,0.5,0.1,1.0,0.25,0.2,0.25,0.05,0.28007525000000005,0.5811,0.760732,0.9687075,1.424739
5,0.5,0.1,1.0,0.25,0.25,0.25,0.05,0.24586875,0.51852,0.681817,0.8638844999999999,1.250319
6,0.5,0.1,1.0,0.25,0.30000000000000004,0.25,0.05,0.2466589,0.520079,0.682717,0.86366425,1.2510461500000003
7,0.5,0.1,1.0,0.25,0.35000000000000003,0.25,0.05,0.250186925,0.51902,0.679442,0.857891,1.2436472
8,0.5,0.1,1.0,0.25,0.4,0.25,0.05,0.25580285,0.5260060000000001,0.685102,0.8636794999999999,1.256849075
9,0.5,0.1,1.0,0.25,0.45,0.25,0.05,0.2644265250000001,0.5326997499999999,0.6906175000000001,0.8667435000000001,1.2463010250000002
10,0.5,0.1,1.0,0.25,0.5,0.25,0.05,0.26851495000000003,0.53490625,0.691627,0.865908,1.235999
11,0.5,0.1,1.0,0.25,0.55,0.25,0.05,0.27086585,0.5371427500000001,0.6927004999999999,0.8643379999999999,1.224896025
12,0.5,0.1,1.0,0.25,0.6000000000000001,0.25,0.05,0.2701159,0.53962875,0.6967355,0.8709285,1.23716105
13,0.5,0.1,1.0,0.25,0.65,0.25,0.05,0.270139825,0.53692575,0.691606,0.86068525,1.2084930500000002
14,0.5,0.1,1.0,0.25,0.7000000000000001,0.25,0.05,0.26856480000000005,0.53697475,0.6931385000000001,0.863289,1.2087190500000002
15,0.5,0.1,1.0,0.25,0.75,0.25,0.05,0.263884975,0.533188,0.6896194999999999,0.8595444999999999,1.1982161
0,0.5,0.1,1.0,0.0,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
1,0.5,0.1,1.0,0.05,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
2,0.5,0.1,1.0,0.1,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
3,0.5,0.1,1.0,0.15000000000000002,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
4,0.5,0.1,1.0,0.2,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
5,0.5,0.1,1.0,0.25,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
6,0.5,0.1,1.0,0.30000000000000004,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
7,0.5,0.1,1.0,0.35000000000000003,0.5,0.25,0.05,0.0,1.23095,1.6757919999999995,2.0784675,2.706188899999999
8,0.5,0.1,1.0,0.4,0.5,0.25,0.05,0.0,0.0,0.0,0.0,0.0
9,0.5,0.1,1.0,0.45,0.5,0.25,0.05,0.5396608,1.125163,1.4714120000000002,1.863795,2.8481428000000006
10,0.5,0.1,1.0,0.5,0.5,0.25,0.05,0.3119682500000001,1.1351505,1.509423,1.8624095,2.58228
11,0.5,0.1,1.0,0.55,0.5,0.25,0.05,0.278862775,1.20898225,1.5948129999999998,2.0310342500000003,3.0779165
12,0.5,0.1,1.0,0.6000000000000001,0.5,0.25,0.05,0.337057,1.129034,1.573038,2.018128,2.883127
13,0.5,0.1,1.0,0.65,0.5,0.25,0.05,0.2263764500000001,0.9798245000000001,1.432539,1.888738,2.61467595
14,0.5,0.1,1.0,0.7000000000000001,0.5,0.25,0.05,0.17887302500000002,1.0055665,1.4259635,1.878696,2.9020207
15,0.5,0.1,1.0,0.75,0.5,0.25,0.05,0.10745550000000006,0.9497035,1.4292844999999998,1.95320725,2.972984
0,0.5,0.1,1.0,0.0,0.5,0.75,0.05,0.0,0.0,0.0,0.0,0.0
